level,uid_type,parent_code,code,name,description,examples,target_database,status,active,notes
L2,st_,document,contract_signed,Contract Signed,Legal agreement executed,Vendor contract,shopnet_transactions,WIP,TRUE,
L2,st_,document,invoice_issued,Invoice Issued,Bill sent,Invoice #1234,shopnet_transactions,WIP,TRUE,
L2,sp_,sp_,purchase,Purchase,One-time product/service payment,Buy iPhone,shopnet_payments,WIP,TRUE,
L2,sp_,sp_,refund,Refund,Return of previous payment,Return refund,shopnet_payments,WIP,TRUE,
L2,sp_,sp_,subscription,Subscription,Recurring payment,Netflix subscription,shopnet_payments,WIP,TRUE,
L2,sp_,sp_,transfer,Transfer,Peer-to-peer money transfer,Venmo transfer,shopnet_payments,WIP,TRUE,
L2,sp_,sp_,tip,Tip,Gratuity payment,Restaurant tip,shopnet_payments,WIP,TRUE,
L2,sp_,sp_,donation,Donation,Charitable contribution,Charity donation,shopnet_payments,WIP,TRUE,
L2,sp_,sp_,fee,Fee,Service or processing fee,Transaction fee,shopnet_payments,WIP,TRUE,
L2,sp_,purchase,card,Card Payment,Credit/debit card,Visa payment,shopnet_payments,WIP,TRUE,
L2,sp_,purchase,bank,Bank Transfer,ACH or wire transfer,Bank transfer,shopnet_payments,WIP,TRUE,
L2,sp_,purchase,wallet,Digital Wallet,Apple Pay/Google Pay,Apple Pay,shopnet_payments,WIP,TRUE,
L2,sp_,purchase,crypto,Cryptocurrency,Bitcoin/Ethereum payment,Bitcoin payment,shopnet_payments,WIP,TRUE,
L2,sl_,sl_,wishlist,Wishlist,Items desired for future purchase,Shopping wishlist,shopnet_registry,designed,TRUE,
L2,sl_,sl_,registry,Registry,Gift registry for events,Wedding registry,shopnet_registry,designed,TRUE,
L2,sl_,sl_,cart,Cart,Active shopping basket,Shopping cart,shopnet_registry,designed,TRUE,
L2,sl_,sl_,todo,To-Do List,Task list,Work tasks,shopnet_registry,designed,TRUE,
L2,sl_,sl_,reminder,Reminder,Reminder list,Daily reminders,shopnet_registry,designed,TRUE,
L2,sl_,sl_,group,Group,Collection of users,Team members,shopnet_registry,designed,TRUE,No legal authority
L2,sl_,sl_,network,Network,Professional network,LinkedIn connections,shopnet_registry,designed,TRUE,
L2,sl_,sl_,collection,Collection,Curated items,Favorite articles,shopnet_registry,designed,TRUE,
L2,sl_,wishlist,shopping_wishlist,Shopping Wishlist,Products to buy,Amazon wishlist,shopnet_registry,designed,TRUE,
L2,sl_,wishlist,domain_wishlist,Domain Wishlist,Domains to acquire,Domain watchlist,shopnet_registry,designed,TRUE,
L2,sl_,registry,gift_registry,Gift Registry,Wedding/baby registry,Baby shower registry,shopnet_registry,designed,TRUE,
L2,sl_,registry,donation_registry,Donation Registry,Charity fundraiser,Fundraiser list,shopnet_registry,designed,TRUE,
L2,sl_,group,team,Team,Work team,Marketing team,shopnet_registry,designed,TRUE,
L2,sl_,group,social,Social Group,Friend/hobby group,Soccer team,shopnet_registry,designed,TRUE,Walmart soccer team example
L2,sl_,group,family,Family,Family members,Smith family,shopnet_registry,designed,TRUE,
L2,su_,su_,person,Person,Individual human,John Smith,shopnet_crm,designed,TRUE,
L2,su_,su_,company,Company,Legal business entity,Walmart Inc,shopnet_crm,designed,TRUE,Has legal authority
L2,su_,su_,organization,Organization,Non-profit or government entity,Red Cross,shopnet_crm,designed,TRUE,
L2,su_,su_,group_entity,Group Entity,Legal group (trust/estate),Smith Family Trust,shopnet_crm,designed,TRUE,Has legal standing
L2,su_,person,individual,Individual,Standard user account,Regular user,shopnet_crm,designed,TRUE,
L2,su_,person,professional,Professional,Business profile,Consultant profile,shopnet_crm,designed,TRUE,
L2,su_,company,corporation,Corporation,C-corp or S-corp,Apple Inc,shopnet_crm,designed,TRUE,
L2,su_,company,llc,LLC,Limited liability company,Smith LLC,shopnet_crm,designed,TRUE,
L2,su_,company,partnership,Partnership,Business partnership,Law firm,shopnet_crm,designed,TRUE,
L2,su_,company,sole_proprietor,Sole Proprietor,Individual business,Freelancer,shopnet_crm,designed,TRUE,
L2,su_,organization,nonprofit,Nonprofit,501c3 charity,Charity org,shopnet_crm,designed,TRUE,
L2,su_,organization,government,Government,Government entity,City government,shopnet_crm,designed,TRUE,
L2,su_,organization,educational,Educational,School/university,State university,shopnet_crm,designed,TRUE,
L2,sa_,sa_,internal,Internal Agent,Used by Shopnet internally,Content Assist,shopnet_assist,live,TRUE,
L2,sa_,sa_,client,Client Agent,User-facing chatbot,Product Assist,shopnet_assist,live,TRUE,
L2,sa_,internal,code,Code Agent,Generates/reviews code,CTO Assist,shopnet_assist,live,TRUE,
L2,sa_,internal,content,Content Agent,Creates content,Content Assist,shopnet_assist,live,TRUE,
L2,sa_,internal,data,Data Agent,Analyzes data,KPI Assist,shopnet_assist,live,TRUE,
L2,sa_,internal,documents,Document Agent,Handles documents,CAO Assist,shopnet_assist,live,TRUE,
L2,sa_,internal,promotion,Marketing Agent,Marketing tasks,Marketing Assist,shopnet_assist,live,TRUE,Future
L2,sa_,client,chat,Chat Agent,Conversational assistant,Product Assist,shopnet_assist,live,TRUE,
L2,sv_,sv_,campaign,Campaign,Marketing or awareness campaign,Product launch,shopnet_activities,WIP,TRUE,
L2,sv_,sv_,project,Project,Work project with deliverables,Website redesign,shopnet_activities,WIP,TRUE,
L2,sv_,sv_,event,Event,Scheduled occurrence,Wedding event,shopnet_activities,WIP,TRUE,
L2,sv_,sv_,plan,Plan,Strategic plan,Annual plan,shopnet_activities,WIP,TRUE,
L2,sv_,sv_,goal,Goal,Objective to achieve,Revenue goal,shopnet_activities,WIP,TRUE,
L2,sv_,sv_,task,Task,Individual work item,Order cake,shopnet_activities,WIP,TRUE,
L2,sv_,sv_,outcome,Outcome,Result or deliverable,Launch complete,shopnet_activities,WIP,TRUE,
L2,sv_,sv_,sprint,Sprint,Time-boxed iteration,2-week sprint,shopnet_activities,WIP,TRUE,
L2,sv_,sv_,milestone,Milestone,Key project checkpoint,Beta launch,shopnet_activities,WIP,TRUE,
L2,sv_,project,software_development,Software Development,Software project,Build new app,shopnet_activities,WIP,TRUE,
L2,sv_,project,construction,Construction Project,Building project,Build office,shopnet_activities,WIP,TRUE,
L2,sv_,project,event_planning,Event Planning,Plan an event,Wedding planning,shopnet_activities,WIP,TRUE,
L2,sv_,event,meeting,Meeting,Scheduled meeting,Team meeting,shopnet_activities,WIP,TRUE,
L2,sv_,event,conference,Conference,Large gathering,Annual conference,shopnet_activities,WIP,TRUE,
L2,sv_,event,celebration,Celebration,Personal celebration,Birthday party,shopnet_activities,WIP,TRUE,
L2,sv_,task,work_task,Work Task,Business task,Update docs,shopnet_activities,WIP,TRUE,
L2,sv_,task,personal_task,Personal Task,Personal to-do,Buy groceries,shopnet_activities,WIP,TRUE,
L2,sv_,campaign,marketing_campaign,Marketing Campaign,Promotional campaign,Ad campaign,shopnet_activities,WIP,TRUE,
L2,sv_,campaign,sales_campaign,Sales Campaign,Sales initiative,Q1 sales push,shopnet_activities,WIP,TRUE,
L2,sv_,goal,business_goal,Business Goal,Company objective,10% growth,shopnet_activities,WIP,TRUE,
L2,sv_,goal,personal_goal,Personal Goal,Individual goal,Lose 10 lbs,shopnet_activities,WIP,TRUE,
L3,sn_,W,status,Status,Endpoint operational state,"planned, wip, live",shopnet_sites,live,TRUE,
L3,sn_,W,web_protocol,Web Protocol,Web version,"W2 (traditional), W3 (blockchain)",shopnet_sites,live,TRUE,Immutable
L3,sn_,W,runtime,Runtime,Execution environment,"nginx, lambda, php, node, python",shopnet_sites,live,TRUE,
L3,sn_,W,managed_by,Managed By,Management method,"L (Lambda), R (Radius), M (Manual), E (External)",shopnet_sites,live,TRUE,Websites only
L3,sn_,W,persistence,Persistence,Availability model,"P (Persistent), D (On-Demand)",shopnet_sites,live,TRUE,Websites only
L3,sn_,W,website_purpose,Website Purpose,Primary function,"brochure, product_store, domain_store, portal, console",shopnet_sites,live,TRUE,Websites only
L3,sg_,product,physical,Physical,Is it a physical object?,Boolean true/false,shopnet_things,WIP,TRUE,
L3,sg_,product,digital,Digital,Is it a digital object?,Boolean true/false,shopnet_things,WIP,TRUE,
L3,sg_,product,consumable,Consumable,Can it be consumed/used up?,Boolean true/false,shopnet_things,WIP,TRUE,
L3,sg_,ALL,status,Status,Thing availability status,"available, unavailable, discontinued",shopnet_things,WIP,TRUE,
L3,sg_,ALL,external_refs,External References,Pointers to external systems,"ASIN, ISBN, SKU, URL",shopnet_things,WIP,TRUE,JSONB field
L3,sc_,ALL,latitude,Latitude,Geographic latitude,Decimal degrees,shopnet_locations,WIP,TRUE,
L3,sc_,ALL,longitude,Longitude,Geographic longitude,Decimal degrees,shopnet_locations,WIP,TRUE,
L3,sc_,ALL,altitude,Altitude,Height above sea level,Meters (optional),shopnet_locations,WIP,TRUE,
L3,sc_,ALL,address,Address,Structured address,"Street, city, state, zip, country",shopnet_locations,WIP,TRUE,JSONB
L3,sc_,ALL,owner,Owner,Location owner/controller,su_xxxxxxxxxxxx,shopnet_locations,WIP,TRUE,
L3,sc_,ALL,access,Access Level,Who can access,"public, private, restricted",shopnet_locations,WIP,TRUE,
L3,st_,ALL,from_uid,From UID,Transaction originator,Any UID type,shopnet_transactions,WIP,TRUE,
L3,st_,ALL,to_uid,To UID,Transaction recipient,Any UID type,shopnet_transactions,WIP,TRUE,
L3,st_,ALL,status,Status,Transaction state,"pending, in_transit, delivered, failed, cancelled",shopnet_transactions,WIP,TRUE,
L3,st_,ALL,content_type,Content Type,MIME type of content,text/json/pdf/image,shopnet_transactions,WIP,TRUE,
L3,st_,ALL,content,Content,Transaction payload,JSONB or text,shopnet_transactions,WIP,TRUE,
L3,st_,ALL,related_to,Related To,What this is about,Any UID,shopnet_transactions,WIP,TRUE,
L3,st_,ALL,timestamp,Timestamp,When transaction occurred,ISO 8601 datetime,shopnet_transactions,WIP,TRUE,
L3,sp_,ALL,payer_uid,Payer UID,Who is paying,su_xxxxxxxxxxxx (required),shopnet_payments,WIP,TRUE,
L3,sp_,ALL,payee_uid,Payee UID,Who is receiving,su_xxxxxxxxxxxx (required),shopnet_payments,WIP,TRUE,
L3,sp_,ALL,amount,Amount,Payment amount,Decimal,shopnet_payments,WIP,TRUE,
L3,sp_,ALL,currency,Currency,Currency code,"USD, EUR, BTC",shopnet_payments,WIP,TRUE,
L3,sp_,ALL,status,Status,Payment state,"pending, authorized, captured, failed, refunded",shopnet_payments,WIP,TRUE,
L3,sp_,ALL,authentication,Authentication,Payment auth data,JSONB (PCI-compliant),shopnet_payments,WIP,TRUE,
L3,sp_,ALL,related_to,Related To,What this payment is for,Any UID,shopnet_payments,WIP,TRUE,
L3,sp_,ALL,processor,Processor,Payment processor,"stripe, paypal, square",shopnet_payments,WIP,TRUE,
L3,sp_,ALL,timestamp,Timestamp,When payment occurred,ISO 8601 datetime,shopnet_payments,WIP,TRUE,
L3,sl_,ALL,owner_uid,Owner UID,List owner,su_xxxxxxxxxxxx or array (required),shopnet_registry,designed,TRUE,
L3,sl_,ALL,name,Name,Display name,String,shopnet_registry,designed,TRUE,
L3,sl_,ALL,description,Description,List purpose,Text,shopnet_registry,designed,TRUE,
L3,sl_,ALL,items,Items,List contents,JSONB array of UIDs or refs,shopnet_registry,designed,TRUE,
L3,sl_,ALL,item_count,Item Count,Number of items,Integer,shopnet_registry,designed,TRUE,
L3,sl_,ALL,status,Status,List state,"active, archived, deleted",shopnet_registry,designed,TRUE,
L3,sl_,ALL,visibility,Visibility,Access control,"private, shared, public",shopnet_registry,designed,TRUE,
L3,sl_,ALL,shared_with,Shared With,Who has access,Array of su_ UIDs,shopnet_registry,designed,TRUE,
L3,sl_,ALL,related_to,Related To,What this list is for,Any UID (optional),shopnet_registry,designed,TRUE,
L3,su_,ALL,email,Email,Primary email address,String (unique),shopnet_crm,designed,TRUE,
L3,su_,ALL,display_name,Display Name,Public name,String,shopnet_crm,designed,TRUE,
L3,su_,ALL,auth_provider,Auth Provider,Authentication method,"google, apple, microsoft, blockchain",shopnet_crm,designed,TRUE,
L3,su_,ALL,status,Status,Account state,"active, suspended, deleted, deceased",shopnet_crm,designed,TRUE,
L3,su_,ALL,legal_status,Legal Status,Legal entity type,"individual, sole_proprietor, llc, corporation",shopnet_crm,designed,TRUE,
L3,su_,ALL,created_at,Created At,Account creation timestamp,ISO 8601 datetime,shopnet_crm,designed,TRUE,
L3,su_,ALL,verified,Verified,Email/identity verified,Boolean,shopnet_crm,designed,TRUE,
L3,su_,ALL,relationships,Relationships,Links to other su_,JSONB (employer/employee/member_of),shopnet_crm,designed,TRUE,
L3,sa_,ALL,site_uid,Site UID,Agent platform,sn_xxxxxxxxxxxx (required),shopnet_assist,live,TRUE,Which platform hosts this agent
L3,sa_,ALL,controlled_by,Controlled By,User with authority,su_xxxxxxxxxxxx (First Law),shopnet_assist,live,TRUE,
L3,sa_,ALL,agent_id,Agent ID,Human-readable ID,String,shopnet_assist,live,TRUE,
L3,sa_,ALL,display_name,Display Name,Agent name,String,shopnet_assist,live,TRUE,
L3,sa_,ALL,model_tier,Model Tier,LLM tier,"basic, standard, premium",shopnet_assist,live,TRUE,
L3,sa_,ALL,status,Status,Operational state,"live, wip, future, suspended",shopnet_assist,live,TRUE,
L3,sa_,ALL,permissions,Permissions,What agent can do,JSONB,shopnet_assist,live,TRUE,
L3,sa_,ALL,delegations,Delegations,Who delegated to this agent,Array of su_ UIDs,shopnet_assist,live,TRUE,
L3,sv_,ALL,name,Name,Activity name,String,shopnet_activities,WIP,TRUE,
L3,sv_,ALL,description,Description,Activity details,Text,shopnet_activities,WIP,TRUE,
L3,sv_,ALL,owner_uid,Owner UID,Activity owner,su_xxxxxxxxxxxx,shopnet_activities,WIP,TRUE,
L3,sv_,ALL,assigned_to,Assigned To,Responsible party,su_ or sl_ UID,shopnet_activities,WIP,TRUE,
L3,sv_,ALL,parent_uid,Parent UID,Parent activity,sv_xxxxxxxxxxxx (for nested),shopnet_activities,WIP,TRUE,
L3,sv_,ALL,depends_on,Dependencies,Prerequisite activities,Array of sv_ UIDs,shopnet_activities,WIP,TRUE,
L3,sv_,ALL,start_date,Start Date,When it starts,ISO 8601 datetime,shopnet_activities,WIP,TRUE,
L3,sv_,ALL,end_date,End Date,When it ends/due,ISO 8601 datetime,shopnet_activities,WIP,TRUE,
L3,sv_,ALL,duration,Duration,How long it takes,Interval,shopnet_activities,WIP,TRUE,
L3,sv_,ALL,status,Status,Current state,"planned, active, completed, cancelled, blocked",shopnet_activities,WIP,TRUE,
L3,sv_,ALL,related_entities,Related Entities,Links to other UIDs,JSONB (sl_/sg_/sc_/etc),shopnet_activities,WIP,TRUE,
